game_id;date;home_club_id;away_club_id;home_club_manager_name;away_club_manager_name;stadium;attendance;referee;home_club_name;away_club_name;Results
4094792;03/03/2024;969;667;Michel Der Zakarian;Patrick Vieira;Stade de la Mosson;11635.0;Stéphanie Frappart;Montpellier Hérault Sport Club;Racing Club de Strasbourg Alsace;0
4094791;03/03/2024;995;347;Jocelyn Gourvennec;László Bölöni;Stade de la Beaujoire;27132.0;Eric Wattellier;Football Club de Nantes;Football Club de Metz;-1
4094785;03/03/2024;273;1158;Julien Stéphan;Régis Le Bris;Roazhon Park;28615.0;Benoît Bastien;Stade Rennais Football Club;Football Club Lorient-Bretagne Sud;-1
4094788;03/03/2024;1041;826;Pierre Sage;Franck Haise;Groupama Stadium;48242.0;Jérôme Brisard;Olympique Lyonnais;Racing Club de Lens;-1
4094793;03/03/2024;3911;738;Éric Roy;Luka Elsner;Stade Francis-Le Blé;14718.0;Pierre Gaillouste;Stade brestois 29;Le Havre Athletic Club;1
4094786;03/03/2024;415;417;Carles Martínez;Francesco Farioli;Stadium Municipal;25507.0;Jérémie Pignard;Toulouse Football Club;Olympique Gymnaste Club Nice Côte d'Azur;1
4094799;08/03/2024;417;969;Francesco Farioli;Michel Der Zakarian;Allianz Riviera;21819.0;Ruddy Buquet;Olympique Gymnaste Club Nice Côte d'Azur;Montpellier Hérault Sport Club;-1
4094797;09/03/2024;1158;1041;Régis Le Bris;Pierre Sage;Stade du Moustoir;16426.0;Mathieu Vernice;Football Club Lorient-Bretagne Sud;Olympique Lyonnais;-1
4094800;09/03/2024;826;3911;Franck Haise;Éric Roy;Stade Bollaert-Delelis;38016.0;Stéphanie Frappart;Racing Club de Lens;Stade brestois 29;1
4094798;10/03/2024;1082;273;Paulo Fonseca;Julien Stéphan;Decathlon Arena-Stade Pierre-Mauroy;40383.0;Benoît Millot;Lille Olympique Sporting Club Lille Métropole;Stade Rennais Football Club;0
4094801;10/03/2024;738;415;Luka Elsner;Carles Martínez;Stade Océane;21462.0;Romain Lissorgue;Le Havre Athletic Club;Toulouse Football Club;1
4094796;10/03/2024;244;995;Jean-Louis Gasset;Jocelyn Gourvennec;Orange Vélodrome;56958.0;François Letexier;Olympique de Marseille;Football Club de Nantes;1
4094795;10/03/2024;667;162;Patrick Vieira;Adi Hütter;Stade de la Meinau;25391.0;Clément Turpin;Racing Club de Strasbourg Alsace;Association sportive de Monaco Football Club;-1
4094802;10/03/2024;347;3524;László Bölöni;Pascal Gastien;Stade Saint-Symphorien;22673.0;Gaël Angoula;Football Club de Metz;Clermont Foot 63;1
4094794;10/03/2024;583;1421;Luis Enrique;Will Still;Parc des Princes;47917.0;Willy Delajod;Paris Saint-Germain Football Club;Stade de Reims;0
4094804;15/03/2024;415;1041;Carles Martínez;Pierre Sage;Stadium Municipal;28436.0;Jérémy Stinat;Toulouse Football Club;Olympique Lyonnais;-1
4094808;16/03/2024;826;417;Franck Haise;Francesco Farioli;Stade Bollaert-Delelis;37346.0;Benoît Bastien;Racing Club de Lens;Olympique Gymnaste Club Nice Côte d'Azur;-1
4094809;16/03/2024;995;667;Jocelyn Gourvennec;Patrick Vieira;Stade de la Beaujoire;29487.0;Jérémie Pignard;Football Club de Nantes;Racing Club de Strasbourg Alsace;-1
4094803;17/03/2024;273;244;Julien Stéphan;Jean-Louis Gasset;Roazhon Park;28610.0;Eric Wattellier;Stade Rennais Football Club;Olympique de Marseille;1
4094810;17/03/2024;969;583;Michel Der Zakarian;Luis Enrique;Stade de la Mosson;19202.0;Florent Batta;Montpellier Hérault Sport Club;Paris Saint-Germain Football Club;-1
4094811;17/03/2024;3911;1082;Éric Roy;Paulo Fonseca;Stade Francis-Le Blé;14774.0;Clément Turpin;Stade brestois 29;Lille Olympique Sporting Club Lille Métropole;0
4094805;17/03/2024;162;1158;Adi Hütter;Régis Le Bris;Stade Louis-II;5090.0;Bastien Dechepy;Association sportive de Monaco Football Club;Football Club Lorient-Bretagne Sud;0
